순위,선수,팀,킬,딜량,기절,어시스트,헤드샷,경기,경기당킬,경기당딜
1,T1_Heather,T1,123,19240,99,51,27,60,2,321
2,SB_GGoBuGi,SB,122,17340,100,32,24,65,1.9,267
3,GEN_seoul,GEN,101,20064,93,49,27,60,1.7,334
4,ART_Fairy,ART,95,19788,103,46,26,60,1.6,330
5,T1_EEND,T1,92,19390,91,47,29,60,1.5,323
6,DN_Tosi,DN,90,14986,80,45,20,60,1.5,250
7,FN_BreaKers,FN,89,10688,76,26,22,60,1.5,178
8,GK_Seongjang,Geekay Esports,88,16492,83,47,23,65,1.4,254
9,DN_Barpo,DN,87,13334,74,33,18,60,1.4,222
10,EOS_SINGAM,EOS,84,12556,79,50,15,65,1.3,193
11,GK_AKaN,Geekay Esports,83,13700,72,48,12,65,1.3,211
12,DNS_Heaven,DN SOOPers,81,15825,81,45,20,60,1.4,264
13,GK_EJ,Geekay Esports,81,11980,63,39,12,65,1.2,184
14,EOS_JaechanE,EOS,77,13143,73,44,11,65,1.2,202
15,ART_night,ART,75,15062,77,41,22,60,1.3,251
16,GEN_Salute,GEN,74,14952,71,40,17,60,1.2,249
17,EOS_Right,EOS,72,16235,76,40,18,70,1,232
18,GK_Parkpro,Geekay Esports,72,12797,64,45,18,65,1.1,197
19,SXA_Freaky,SXA,72,9999,68,19,11,55,1.3,182
20,VEX_Lure,VEX,70,14077,74,26,18,60,1.2,235
21,DNS_DIEL,DN SOOPers,70,12713,79,48,8,60,1.2,212
22,T1_Type,T1,69,12276,58,49,17,60,1.1,205
23,PHE_GimJun,PHE,66,13650,61,36,22,60,1.1,228
24,DN_Stella,DN,65,11291,52,38,12,60,1.1,188
25,AZLA_redzone,AZLA,64,12386,65,41,10,50,1.3,248
26,ART_FoxVer,ART,60,11854,55,44,16,60,1,198
27,DD_BigPicTure,DD,60,9154,47,17,11,60,1,153
28,GEN_BeaN,GEN,59,12054,63,46,17,60,1,201
29,DNS_Rex,DN SOOPers,59,10957,50,34,12,60,1,183
30,SB_Ayoh,SB,58,10552,45,39,15,65,0.9,162
31,AZLA_Orca,AZLA,57,10244,61,30,9,50,1.1,205
32,GEN_diyy,GEN,56,11809,54,26,12,60,0.9,197
33,EOS_lawn,EOS,56,11447,50,37,13,60,0.9,191
34,FN_kkachi,FN,56,11321,54,24,20,60,0.9,189
35,DNS_Gyumin,DN SOOPers,56,9891,55,54,15,60,0.9,165
36,SGA_inforyou,SGA,56,9736,54,21,11,50,1.1,195
37,SB_MBBO,SB,55,8955,56,32,16,65,0.8,138
38,VEX_ROY,VEX,54,12054,59,40,13,60,0.9,201
39,DN_wonderful,DN,52,11693,51,38,9,60,0.9,195
40,PHE_ZeniTh,PHE,51,8322,47,19,14,60,0.8,139
41,T1_Rain1ng,T1,50,11343,52,36,10,60,0.8,189
42,PHE_DAEVA,PHE,50,7813,35,13,12,60,0.8,130
43,SXA_woo,SXA,49,9830,50,19,9,50,1,197
44,OS_Daekwan,OS,47,10573,47,20,13,50,0.9,211
45,VEX_Nyeong,VEX,47,10065,48,30,15,60,0.8,168
46,DD_ASSASSIN,DD,47,9886,50,30,15,55,0.9,180
47,CR_Pio,CR,46,8770,48,20,14,40,1.1,219
48,SB_Geunwon,SB,45,13136,47,45,15,65,0.7,202
49,OS_2heart,OS,45,10528,53,13,14,50,0.9,211
50,AZLA_F1ame,AZLA,44,9599,44,28,12,50,0.9,192
51,XXG_Yarr,XXG,43,6510,35,27,8,49,0.9,133
52,SXA_Acid,SXA,42,10946,48,34,5,55,0.8,199
53,SGA_AnX1n,SGA,42,7464,37,25,8,45,0.9,166
54,OS_lastman,OS,42,7004,39,19,12,50,0.8,140
55,FN_Hush,FN,42,6874,29,29,9,60,0.7,115
56,SGA_snowfake,SGA,41,9466,45,24,11,50,0.8,189
57,FN_Starlord,FN,41,8716,38,21,8,60,0.7,145
58,OS_2cut,OS,41,8525,37,17,8,50,0.8,171
59,VEX_Karwn,VEX,41,7476,31,15,10,60,0.7,125
60,SGA_Xantast,SGA,41,7064,38,27,9,50,0.8,141
61,DD_Foxy,DD,40,8527,54,23,11,40,1,213
62,DD_xxnder,DD,40,8178,39,31,6,45,0.9,182
63,XXG_Mandu,XXG,40,6350,33,15,7,50,0.8,127
64,SEN_HyukSung,SEN,39,9300,41,20,8,50,0.8,186
65,SEN_Hane,SEN,39,6440,32,15,9,50,0.8,129
66,SEN_VenTus,SEN,38,7807,42,17,7,45,0.8,173
67,CR_Inonix,CR,37,8075,33,13,11,40,0.9,202
68,MHG_PEEKKING,MHG,37,8021,43,18,11,40,0.9,201
69,PHE_Daeyeon,PHE,35,9591,34,21,7,60,0.6,160
70,DGP_Search,DGP,35,5865,37,14,3,40,0.9,147
71,MHG_DORI,MHG,34,7419,40,10,12,40,0.8,185
72,AZLA_HAMMER,AZLA,34,7168,39,30,7,50,0.7,143
73,ARK_Arte,ARK,33,4404,29,6,4,20,1.6,220
74,TCN_Daekwan,TCN,31,5485,31,11,8,15,2.1,366
75,XXG_Sev7n,XXG,31,4766,26,19,2,40,0.8,119
76,YP_flusha,YP,31,4543,28,4,7,20,1.6,227
77,DGP_innate,DGP,29,6275,33,17,7,40,0.7,157
78,MHG_CHANAHRI,MHG,29,6239,32,19,3,40,0.7,156
79,ARK_Genom,ARK,28,5041,23,16,3,20,1.4,252
80,YP_Solution,YP,27,5040,26,12,4,40,0.7,126
81,DGP_One1Tap,DGP,27,4750,25,17,4,40,0.7,119
82,Ark_Genom,ARK,27,4513,22,10,11,15,1.8,301
83,DGP_DEER,DGP,25,5454,29,13,6,40,0.6,136
84,YP_Rascal,YP,25,4984,23,14,10,40,0.6,125
85,CR_Gyuyeon,CR,24,5942,34,16,4,40,0.6,149
86,YP_Heat,YP,24,4542,25,17,7,40,0.6,114
87,ER_PolarBear,ER,24,4097,23,4,3,30,0.8,137
88,CR_Glaz,CR,23,5023,25,13,11,40,0.6,126
89,TCN_2cut,TCN,23,4038,19,17,5,15,1.5,269
90,ART_Woong,ART,21,5774,15,26,6,60,0.3,96
91,DD_TaxDer,DD,21,4724,20,15,4,25,0.8,189
92,SPF_DDakGu,SPF,21,4548,26,10,2,30,0.7,152
93,ARK_CxldMxn,ARK,21,3591,17,15,5,20,1.1,180
94,PDE_Acid,PDE,20,2874,15,8,5,5,4,575
95,BKL_SChang,BKL,20,2860,12,7,5,10,2,286
96,XW_MaengGu,XW,20,2412,17,6,7,15,1.3,161
97,SPF_Sunday,SPF,19,4890,21,15,7,30,0.6,163
98,SRI_7777,SRI,19,3782,26,7,6,15,1.3,252
99,SXA_EsrA,SXA,19,3063,17,13,5,30,0.6,102
100,TCN_2heart,TCN,18,4495,17,12,4,15,1.2,300
101,ER_Synergy,ER,18,3435,24,8,1,25,0.7,137
102,XXG_Hyeon,XXG,18,3287,16,10,2,20,0.9,164
103,Ark_CxldMxn,ARK,18,3210,13,14,3,10,1.8,321
104,PDE_flusha,PDE,18,2514,16,8,6,5,3.6,503
105,SEN_Zephyros,SEN,17,6201,23,24,3,50,0.3,124
106,SPF_Minuda,SPF,17,4528,23,8,6,30,0.6,151
107,ZEN_HEZIO,ZEN,17,3890,23,4,2,15,1.1,259
108,SPF_Americano,SPF,17,3758,20,7,5,30,0.6,125
109,SXG_WaSsoBeSso,SXG,17,2569,14,5,9,15,1.1,171
110,TCN_lastman,TCN,16,4576,23,15,7,15,1.1,305
111,KX_Alone,KX,16,2826,14,8,2,10,1.6,283
112,XW_PolarBear,XW,16,2641,15,9,3,15,1.1,176
113,BKL_Santa,BKL,16,1815,8,7,5,10,1.6,182
114,XGZ_TIGHT,XGZ,15,3001,8,10,1,10,1.5,300
115,SXA_muel,SXA,14,3523,10,7,3,20,0.7,176
